Link,Year,Month,Heading,Response date,requested by,question,result
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15858-response-letter.pdf,2024,,Correspondence with KiwiRail relating to the SH1 Rangitata River Road Bridge,Responded: 6 August 2024,Requested by: TVNZ (One News),"are there emails between  Kiwirail and NZTA  relating to the Rangitata River Road Bridge (SH1) in Mid/South Canterbury. 
",yes there are in an annex
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15574-response-letter.pdf,2024,,Digital strategy,Responded: 20 June 2024,Requested by: Victoria University of Wellington,what is Your agency's digital (IT or ICT) strategy,the response is in an annex
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15529-response-letter.pdf,2024,,Access to the Motor Vehicle Register (MVR) and section 237(2)(d) of the Land Transport Act 1998,Responded: 13 June 2024,Requested by: Member of the public,"How does Wilson's car parking or other private carparks access opted-out information, and on what grounds do you prioritize the interests of a private company over the privacy of individuals who have opted out?","yes, there is an annex with the rules"
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15181-response-letter.pdf,2024,,"Information about the Queenstown Package, including cost breakdowns, contingencies and levels of risk",Responded: 28 May 2024,Requested by: Crux Publishing Ltd,how this government reached an agreement on the $250m figure for the queenstown project?,yes there is an annex with the answer
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14995-response-letter.pdf,2024,,Advice provided to Ministers regarding speed limit reductions,Responded: 16 May 2024,Requested by: RNZ,do you have any info on the written advice - and supporting information - provided to Ministers or their offices since the 2023 election relating to speed limit reductions.,yes there is an annex
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14776-response-letter.pdf,2024,,Change to primary name in English,Responded: 19 April 2024,Requested by: Stuff,"I request all advice, briefings, reports, notes or meetings, aides memoire and communications to and from Waka Kotahi NZ Transport Agency regarding the change to have its primary name in English.",attatchments with info found
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15065-response-letter.pdf,2024,,Alternative dispute resolution policies and organisational change protocol 2024,Responded: 18 April 2024,Requested by: Member of the public,do you have info on NZTA's current change protocol,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14293-response-letter.pdf,2024,,New Minister of Transport - initial letters of expectation,Responded: 16 February 2024,Requested by: Member of the public,"do you have any info regarding the new Minister of Transport outlining his expectations, sent to the Waka
Kotahi Chair, and Waka Kotahi Chief Executive",
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-14037-response-letter.pdf,2023,December,Digital driver licences,Responded: 18 December 2023,Requested by: Member of the public,"I request the release of all correspondence, including emails and any other information exchanged, between Waka Kotahi and the relevant departments of international jurisdiccions that have implemented digital drivers licenses",
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-14032-response-letter.pdf,,December,SH73 Candys to Rock Shelter Service Maintenance Agreement October 2023,Responded: 15 December 2023,Requested by: Member of the public,what info do you have about the reports on different options for the Otira gorge closure,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13751-response-letter.pdf,,,Digital driver licences,Responded: 9 November 2023,Requested by: Member of the public,can you explain your plan and roadmap to obtaining digital drivers licenses,
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13836-response-letter.pdf,,,NTS brand development options,Responded: 8 November 2023,Requested by: Member of the public,can you give me info on or the content of  the nBrand development paper,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13527-response-letter.pdf,,,Average speed (point-to-point) safety cameras,Responded: 13 October 2023,Requested by: Member of the public,"can you provide me A comprehensive explanation of how point-to-point speed cameras operate, including
their purpose and technology ",
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13770-response-letter.pdf,,,Sustainable Urban Mobility Benchmarking Technical Report,Responded: 13 October 2023,Requested by: Member of the public,can you provide me content on Sustainable Urban Mobility Benchmarking Technical Report. ,
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13375-response-letter.pdf,,,Waitematā Harbour Crossing emerging preferred option announcement,Responded: 3 October 2023,Requested by: Member of the public,"I would like all comunications between NZTA officials and the Minister of Transport Hon David Parker's office regarding the announcement of the emerging preferred option for a second Waitemata harbour crossing,",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"for the annexed example use: OIA-14995-response-letter.pdf

first identify that the query for:
do you have any info on the written advice - and supporting information - provided to Ministers or their offices since the 2023 election relating to speed limit reductions?

And then follow up with the question:
""what is the progress to date?""

show that if you do not have the environemt set then the progress goes to refer to another documents annex",,,,,,,
