Link,Year,Month,Heading,Response date,requested by
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-16066-response-letter.pdf,2024,August,"Fatal and serious crashes for 2014–2024, including contributing factors",Responded: 15 August 2024,Requested by: Green Party of Aotearoa New Zealand
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15882-response-letter.pdf,2024,August,Crashes from 2019 to 2024 where bright headlights was a factor,Responded: 7 August 2024,Requested by: Radio New Zealand
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15943-response-letter.pdf,2024,August,Crash data at the intersection of SH1 and Saleyards Road 2014–2024,Responded: 6 August 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15832-response-letter.pdf,2024,July,"Driver Licence test data for Taumarunui, Te Awamutu and Hamilton",Responded: 26 July 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15761-response-letter.pdf,2024,July,Road user charges (RUC) data for June 2024,Responded: 10 July 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15603-response-letter.pdf,2024,July,Crash statistics per region – 1 January to 14 June in 2023 and 2024,Responded: 8 July 2024,Requested by: TVNZ (TV1)
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15391-response-letter.pdf,2024,July,Brynderwyn Kauri corner,Responded: 1 July 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15547-response-letter.pdf,2024,June,Road user charges (RUC) data for May 2024,Responded: 27 June 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15529-response-letter.pdf,2024,June,Access to the Motor Vehicle Register (MVR) and section 237(2)(d) of the Land Transport Act 1998,Responded: 13 June 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15439-response-letter.pdf,2024,June,Crash rate data for each region – update as at 6 June 2024,Responded: 11 June 2024,Requested by: TV One News
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15450-response-letter.pdf,2024,June,CO2 emissions of vehicles and methodology of the Clean Car Discount (CCD),Responded: 11 June 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15264-response-letter.pdf,2024,May,Road user charges (RUC) data for April 2024,Responded: 28 May 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15159-response-letter.pdf,2024,May,"A breakdown of crash data according to gender, crash severity, factors, and speed limit zones for the Otago and Southland regions between the period of 2019–2024",Responded: 14 May 2024,Requested by: Otago Daily Times
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15151-response-letter.pdf,2024,May,Breakdown of accidents involving pedestrians and cyclists in the Auckland region between the period of 2019 – 2023,Responded: 13 May 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15144-response-letter.pdf,2024,April,Crash rate statistics per region,Responded: 30 April 2024,Requested by: TV One News
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14967-response-letter.pdf,2024,April,"Crash data for the Auckland region since 2021 involving pedestrians, cyclists, motorcyclists and skateboards",Responded: 19 April 2024,Requested by: Radio NZ
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-14719-response-letter.pdf,2024,April,Awarded contracts within Taupo District (2021-2024),Responded: 16 April 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14931-response-letter.pdf,2024,April,"Crash data for Wakefield Avenue, Sumner, Christchurch",Responded: 3 April 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14293-response-letter.pdf,2024,February,New Minister of Transport - initial letters of expectation,Responded: 16 February 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14546-response-letter.pdf,2024,February,"Deaths and serious injuries (DSIs) between Glenbrook Road and Glenbrook-Waiuku Road, Auckland",Responded: 15 February 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14432-response-letter.pdf,2024,February,Restricted license pass and fail rates for the Manawatū-Whanganui from 2021 to 2023 according to month and testing site,,Responded: 12 February 2024
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14437-response-letter.pdf,2024,February,Fatal and non-fatal crashes in 2023,Responded: 12 February 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14533-response-letter.pdf,2024,February,"Death and serious injuries (DSI) from alcohol, drugs, non- and disqualified drivers, and Road to Zero advertising campaign",Responded: 12 February 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14235-response-letter.pdf,2024,February,Name change correspondence,Responded: 9 February 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14420-response-letter.pdf,2024,February,Bridge speeds and crashes involving overseas drivers,Responded: 9 February 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14441-response-letter.pdf,2024,February,Bus companies that have signed an All Parties Memorandum of Understanding - Improving Driver Terms and Conditions,Responded: 8 February 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14344-response-letter.pdf,2024,,Rejected personalised plate applications in the last three years,Responded: 8 February 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14267-response-letter.pdf,2024,,Hope Bypass advice,Responded: 7 February 2024,Requested by: TVNZ
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14314-response-letter.pdf,2024,,Data on Clean Car levy for high emissions vehicles,Responded: 25 January 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-14334-response-letter.pdf,2024,,Road deaths involving drugs or alcohol,Responded: 25 January 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-14082-response-letter.pdf,2023,,Ōtaki River Bridge shared pathway options development,Responded: 8 December 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-14052-response-letter.pdf,2023,,Driver license statistics in the Otago and Southland regions,Responded: 5 December 2023,Requested by: Otago Daily Times
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-14069-response-letter.pdf,2023,,Waka Kotahi staff salary and pay bands for 2023/24 financial year,Responded: 29 November 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13893-interim-response-letter.pdf,2023,,Review of Fullers360 Waiheke Ferry Service exempt status,,Responded: 10 November 2023
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13927-response-letter.pdf,2023,,Te Awa Road to Camphill Road crash information,Responded: 6 November 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13741-response-letter.pdf,2023,,"Corner of Palmyra Way and Antilla Place, Half Moon Bay, Auckland crash information",Responded: 16 October 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13725-response-letter.pdf,2023,,Pothole related motorcycle crashes 2021–2023,Responded: 5 October 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13628-response-letter.pdf,2023,,Clean Car Discount Rebate statistics – September 2023,Responded: 3 October 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13168-response-letter.pdf,2023,,"Traffic management, road cones, risk assessments, and deaths and serious injuries (DSI) statistics",Responded: 14 September 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13192-response-letter.pdf,2023,,Auckland Harbour Bridge traffic count data,Responded: 22 August 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13236-response-letter.pdf,2023,,Cobham Drive traffic lights,Responded: 22 August 2023,Requested by: Member of the public
