Link,Year,Month,Heading,Response date,requested by
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15911-response-letter.pdf,2024,August,Fatal and serious injuries on pedestrian crossings in Lower Hutt 2009–2024,Responded: 6 August 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/oia-15470-response-letter.pdf,2024,june,Long tunnel,Responded: 13 June 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15348-response-letter.pdf,2024,May,Motorbike licences held by women,Responded: 23 May 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-15005-response-letter.pdf,2024,april,"Crashes at Kitchener Street (SH53) and Princess Street intersection, Martinborough",Responded: 10 April 2024,Requested by: Wairarapa Times-Age
https://www.nzta.govt.nz/assets/About-us/docs/oia-2024/OIA-14738-response-letter.pdf,2024,March,"Cost to establish garden on centre reservation, Main Road, Waikanae",Responded: 15 March 2024,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-14203-response-letter.pdf,2023,December,SH1 Whangarei to Wellsford – justification for safety improvements and cost of installation,Responded: 15 December 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13918-response-letter.pdf,2023,November,Total Mobility funding for Public Transport Authorities,Responded: 7 November 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13816-response-letter.pdf,2023,November,Information relating to the proposed changes of SH2/Moonshine Hill Road intersection,Responded: 7 November 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13671-response-letter.pdf,2023,November,LGWM salary info and programme spend up to 31 August 2023,Responded: 2 November 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13759-response-letter.pdf,2023,November,"Advertising, surveys and communications staff",Responded: 1 November 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13817-response-letter.pdf,2023,October,MR1 and MR1B (Application to License Motor Vehicle) transactions,Responded: 25 October 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13654-response-letter.pdf,2023,October,Surveys and market research conducted by Waka Kotahi in August/September 2023,Responded: 13 October 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13673-response-letter.pdf,2023,October,Vehicle damage compensation claims in Northland,Responded: 5 October 2023,Requested by: Northern Advocate
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-13480-response-letter.pdf,2023,September,Play Streets costs,Responded: 22 September 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13351-response-letter.pdf,2023,September,Breakdown of Let's Get Wellington Moving (LGWM) staff salaries,Responded date: 15 September 2023,Requested by: NZME
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13487-response-letter.pdf,2023,September,Exemptions to carry passengers declined and granted,Responded: 13 September 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-13336-response-letter.pdf,2023,September,"Events held by Waka Kotahi over $10,000 in the previous year",Responded: 7 September 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-12679-response-letter.pdf,2023,August,National Resilience Programme Business Case – subsequent business cases,Responded: 27 June 2023,Requested by: Radio NZ
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-12725-response-letter.pdf,2023,August,Cost per lane/km of pavement rehabilitation and resurfacing,Responded: 16 June 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-12790-response-letter.pdf,2023,June,Bus companies that have signed an 'All Parties Memorandum of Understanding - Improving Driver Terms and Conditions',Responded: 14 June 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia2-2023/oia-12791-response-letter.pdf,2023,June,Northland crash data,Responded: 8 June 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/OIA-12774-response-letter.pdf,2023,June,"Springfield Road, St Albans crash data",Responded: 2 June 2023,Requested by: Member of the public
https://www.nzta.govt.nz/assets/About-us/docs/oia-2023/oia-12517-response-letter.pdf,2023,May,Supporting Growth costs,Responded: 31 May 2023,Requested by: Member of the public
